"id","hostid","name","roomtype","bathrooms","bedrooms","hostlistings","calendar_last_scraped","pricelast","reviewtotal","reviewspermonth","neighborhood","borough","latitude","longitude","minstay","maximum_nights","availability_30","availability_60","availability_90","availability_365","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value"
34614134,261141361,"Quiet, Licensed W. Salem Room for Travelers","Private room",NA,1,2,"2021-12-20",46,20,0.64,"Ward 8",NA,44.95061,-123.07971,7,180,0,27,57,147,4.9,4.95,4.85,5,4.85,4.9
36806045,276655122,"1941 Craftsman in Salem  w/ Private Backyard Patio","Entire home/apt",NA,3,1,"2021-12-20",150,41,1.39,"Ward 1",NA,44.94938,-123.00607,1,31,0,0,0,20,4.85,4.93,4.93,4.95,4.61,4.83
37157862,142420980,"Large 2 Bedroom 1 Bath Condo with a Creek View","Entire home/apt",NA,2,6,"2021-12-20",91,128,4.38,"Ward 1",NA,44.94732,-123.03173,1,120,0,0,19,281,4.76,4.91,4.88,4.97,4.81,4.73
37723906,142420980,"Large Creek View 2 Bedroom 2 Bath Condo","Entire home/apt",NA,2,6,"2021-12-20",153,88,3.09,"Ward 1",NA,44.94644,-123.03278,1,45,0,0,0,197,4.8,4.83,4.86,4.97,4.82,4.81
37815385,138914826,"Cozy, convenient room in Salem","Private room",NA,1,1,"2021-12-20",35,109,4.26,"Ward 1",NA,44.94267,-123.01436,2,7,0,0,0,0,4.81,4.94,4.72,4.95,4.95,4.87
38976509,183514,"The Bunkhouse","Entire home/apt",NA,1,1,"2021-12-20",35,17,0.69,"Ward 1",NA,44.94348,-123.01219,2,1125,30,60,90,180,4.71,4.88,4.82,4.88,4.88,4.76
38981095,104054845,"Cozy, close in stay!","Private room",NA,1,2,"2021-12-20",50,21,0.9,"Ward 2",NA,44.92628,-123.03406,2,30,0,0,0,0,4.95,4.86,4.95,5,5,5
39128949,283063,"Mid-Century-Modern w/Views The Mulberry House","Entire home/apt",NA,3,2,"2021-12-20",232,24,0.97,"Ward 7",NA,44.91163,-123.06115,4,135,1,30,60,150,4.96,4.88,4.96,4.96,4.96,5
39736719,283063,"Mulberry Drive - Sunlight home with valley views.","Entire home/apt",NA,1,2,"2021-12-20",75,0,NA,"Ward 7",NA,44.91275,-123.06237,5,135,0,1,31,121,NA,NA,NA,NA,NA,NA
39969910,20726798,"Quiet Updated Duplex, Great Location","Entire home/apt",NA,1,1,"2021-12-20",95,41,1.8,"Ward 2",NA,44.92886,-123.04466,2,1125,2,3,9,235,4.95,4.98,5,4.98,4.88,4.9
40070743,143942772,"Friends &  Family Peaceful  Palace Home Salem, OR","Entire home/apt",NA,3,1,"2021-12-20",158,45,1.8,"Ward 5",NA,44.9628,-123.01897,2,30,19,49,79,238,4.82,4.78,4.96,4.93,4.64,4.87
40861468,27758890,"Bombshell basement","Entire home/apt",NA,1,1,"2021-12-20",120,10,0.43,"Ward 7",NA,44.91749,-123.0542,1,90,21,51,81,348,4.9,4.7,4.7,4.9,4.9,4.9
41338909,58210782,"Englewood Loft","Entire home/apt",NA,NA,1,"2021-12-20",85,44,1.92,"Ward 1",NA,44.94443,-123.01453,4,21,17,47,77,77,5,5,5,5,5,4.98
42100848,1706855,"Charming Chalet","Entire home/apt",NA,2,1,"2021-12-20",125,17,0.8,"Ward 7",NA,44.90742,-123.07404,2,60,0,0,19,109,4.71,4.71,4.59,4.94,5,4.82
42243993,142420980,"LARGE Upstairs 2 Bed 2 Bath condo Creek View!","Entire home/apt",NA,2,6,"2021-12-20",150,109,5.27,"Ward 1",NA,44.94576,-123.03004,1,120,9,32,58,320,4.78,4.89,4.83,4.96,4.61,4.78
42472856,104054845,"Quaint room in Bush Park classic","Private room",NA,1,2,"2021-12-20",45,21,2.11,"Ward 2",NA,44.92469,-123.03397,2,50,0,1,1,1,4.76,4.9,4.86,4.86,4.86,4.9
42796228,4923044,"Long term stay discount & perfect to work remote.","Entire home/apt",NA,3,1,"2021-12-20",200,42,1.96,"Ward 5",NA,44.95474,-122.99237,3,1125,6,23,49,49,4.76,4.71,4.83,4.95,4.6,4.52
42817285,341037787,"Salem's R & R Home Near Downtown, Air Conditioning","Entire home/apt",NA,3,1,"2021-12-20",175,25,1.44,"Ward 2",NA,44.93016,-123.01796,28,1125,10,39,69,344,4.88,4.92,4.96,4.92,4.76,4.8
42818351,22810342,"Luxurious modern retreat in Downtown w/ pool","Entire home/apt",NA,1,1,"2021-12-20",92,19,0.89,"Ward 1",NA,44.94835,-123.02339,1,360,0,0,4,205,4.68,4.79,4.95,5,4.79,4.74
43402510,261141361,"Quiet, comfy, licensed West Salem room to stay.","Private room",NA,1,2,"2021-12-20",57,4,0.21,"Ward 8",NA,44.94949,-123.08107,14,180,3,3,3,262,4.75,5,5,5,5,5
43739946,7077451,"Tara's one bedroom, private entry in Cottage Home","Private room",NA,1,1,"2021-12-20",55,37,2.07,"Ward 2",NA,44.93958,-123.01201,1,1125,13,33,63,147,4.95,5,4.89,4.95,4.95,4.89
44954576,76662611,"Spacious Bright Townhome in Heart of Wine Country","Entire home/apt",NA,3,1,"2021-12-20",130,42,2.64,"Ward 4",NA,44.86902,-123.01757,1,1125,21,40,59,138,4.67,4.83,4.62,4.98,4.86,4.81
45303389,165330582,"NW Pine Hills Estate🌲 (Long Stairway To Mainfloor)","Entire home/apt",NA,4,1,"2021-12-20",436,92,6.23,"Ward 8",NA,44.9488,-123.08238,1,1125,23,52,82,328,4.78,4.86,4.95,4.98,4.89,4.82
45791126,78391796,"Spacious gem + AC","Entire home/apt",NA,4,1,"2021-12-20",175,65,4.55,"Ward 3",NA,44.88678,-123.01629,3,28,8,13,24,24,4.91,4.97,4.91,4.94,4.88,4.89
45960800,5452115,"Private apartment close to food and downtown!","Entire home/apt",NA,1,1,"2021-12-20",200,0,NA,"Ward 1",NA,44.96053,-123.02794,1,1125,17,47,77,167,NA,NA,NA,NA,NA,NA
46030321,126369803,"Tiny trailer, smaller than it looks.","Entire home/apt",NA,NA,1,"2021-12-20",40,0,NA,"Ward 1",NA,44.9447,-123.00881,1,2,29,59,89,89,NA,NA,NA,NA,NA,NA
46299140,3705464,"Lovely Master bedroom, bathroom, 2nd room/office","Private room",NA,1,1,"2021-12-20",38,4,0.34,"Ward 7",NA,44.91709,-123.05207,30,1125,0,17,47,137,5,5,5,5,5,5
46883743,378740541,"Close to I-5 and easy to shopping and restaurants","Entire home/apt",NA,3,1,"2021-12-20",211,34,2.83,"Ward 4",NA,44.88341,-123.00552,1,1125,1,31,61,103,4.82,4.88,4.94,5,4.91,4.88
46898377,378870814,"Modern accommodations in Historic Downtown Salem","Private room",NA,1,2,"2021-12-20",158,4,0.57,"Ward 1",NA,44.93511,-123.01943,7,1125,0,26,56,146,5,5,5,5,5,5
47091813,51012505,"Lower Apartment in Historic District Near Hospital","Entire home/apt",NA,1,3,"2021-12-20",83,14,1.18,"Ward 1",NA,44.93876,-123.02266,10,365,0,18,48,138,4.86,4.86,4.86,4.93,4.93,4.71
47185169,381131161,"Fully-Furnished Sunny Guesthouse","Entire home/apt",NA,1,1,"2021-12-20",60,47,3.9,"Ward 7",NA,44.92908,-123.04719,1,30,19,38,65,65,4.89,4.94,4.91,4.96,4.81,4.91
47308994,16551601,"Willamette Valley Wine Country Getaway!","Entire home/apt",NA,1,1,"2021-12-20",175,10,2.21,"Ward 8",NA,44.94471,-123.0856,1,1125,20,50,80,352,5,5,5,4.9,4.8,4.8
47958424,102278503,"Unique 1 bedroom  furnished flat near Bush Park","Entire home/apt",NA,1,3,"2021-12-20",83,1,0.59,"Ward 2",NA,44.92637,-123.03363,50,365,8,38,68,68,5,4,5,5,4,5
